x1	y1	z1	x2	y2	z2	x3	y3	z3
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.29579	-0.092921	0.95072	-0.85888	-0.40977	-0.30726	0.41813	-0.90744	0.041396
-0.29579	-0.092921	0.95072	-0.85888	-0.40977	-0.30726	0.41813	-0.90744	0.041396
-0.29251	-0.09014	0.95201	-0.8684	-0.3918	-0.30392	0.40039	-0.91562	0.036327
-0.29708	-0.090641	0.95054	-0.86645	-0.39275	-0.30825	0.40126	-0.91517	0.038144
-0.28005	-0.07038	0.9574	-0.87989	-0.37998	-0.28531	0.38387	-0.92231	0.044488
-0.26237	-0.065672	0.96273	-0.89083	-0.36701	-0.26781	0.37092	-0.92789	0.03779
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.35493	-0.062338	0.93281	-0.8781	-0.32022	-0.35552	0.32087	-0.94529	0.058919
-0.26695	-0.029272	0.96327	-0.92743	-0.26388	-0.26503	0.26195	-0.96411	0.043293
-0.26695	-0.029272	0.96327	-0.92743	-0.26388	-0.26503	0.26195	-0.96411	0.043293
-0.26229	-0.031343	0.96448	-0.92941	-0.26067	-0.26123	0.2596	-0.96492	0.039242
-0.25508	-0.027811	0.96652	-0.93116	-0.26228	-0.25329	0.26054	-0.96459	0.041005
-0.26022	-0.028602	0.96513	-0.9136	-0.31616	-0.2557	0.31245	-0.94828	0.056139
-0.26429	-0.02636	0.96408	-0.91264	-0.31638	-0.25884	0.31184	-0.94827	0.059559
-0.27506	-0.021853	0.96118	-0.90738	-0.32458	-0.26705	0.31782	-0.9456	0.069452
-0.35896	-0.044235	0.9323	-0.87066	-0.34403	-0.35155	0.33629	-0.93792	0.08498
-0.32811	0.013149	0.94455	-0.88404	-0.35665	-0.30212	0.3329	-0.93415	0.12864
-0.32973	0.014246	0.94397	-0.8883	-0.34328	-0.3051	0.3197	-0.93912	0.12584
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.33533	-0.036766	0.94138	-0.887	-0.32441	-0.32863	0.31747	-0.9452	0.076172
-0.3034	-0.018565	0.95268	-0.90009	-0.32253	-0.29293	0.31271	-0.94638	0.081144
-0.30853	-0.0202	0.951	-0.90257	-0.30942	-0.29939	0.3003	-0.95071	0.077234
-0.29928	-0.023265	0.95388	-0.90939	-0.29568	-0.29253	0.28885	-0.955	0.067333
-0.32004	0.02324	0.94712	-0.87581	-0.38849	-0.28641	0.36129	-0.92116	0.14469
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.34605	-0.034181	0.93759	-0.88115	-0.33135	-0.3373	0.3222	-0.94289	0.084546
-0.26246	-0.028214	0.96453	-0.90682	-0.33446	-0.25654	0.32984	-0.94199	0.062197
-0.26246	-0.028214	0.96453	-0.90682	-0.33446	-0.25654	0.32984	-0.94199	0.062197
-0.26108	-0.028304	0.9649	-0.91753	-0.30334	-0.25716	0.29997	-0.95246	0.053226
-0.26108	-0.028304	0.9649	-0.91753	-0.30334	-0.25716	0.29997	-0.95246	0.053226
-0.35529	0.0030478	0.93475	-0.9069	-0.24342	-0.34391	0.22649	-0.96992	0.08925
-0.34885	-0.041679	0.93625	-0.89024	-0.29746	-0.34494	0.29288	-0.95382	0.066664
-0.27471	-0.084546	0.9578	-0.87705	-0.38624	-0.28564	0.3941	-0.91851	0.031953
-0.28899	-0.050446	0.956	-0.85576	-0.43403	-0.28159	0.42914	-0.89948	0.08226
-0.28899	-0.050446	0.956	-0.85576	-0.43403	-0.28159	0.42914	-0.89948	0.08226
-0.28899	-0.050446	0.956	-0.85576	-0.43403	-0.28159	0.42914	-0.89948	0.08226
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.28226	-0.077044	0.95624	-0.83287	-0.47498	-0.28411	0.47608	-0.87662	0.069899
-0.26588	-0.080588	0.96063	-0.81711	-0.50991	-0.26893	0.51151	-0.85644	0.069725
-0.26817	-0.0541	0.96185	-0.82971	-0.49439	-0.25914	0.48955	-0.86755	0.087694
-0.26817	-0.0541	0.96185	-0.82971	-0.49439	-0.25914	0.48955	-0.86755	0.087694
-0.24674	-0.030021	0.96862	-0.81932	-0.52733	-0.22505	0.51753	-0.84913	0.10551
-0.24538	-0.020911	0.9692	-0.81422	-0.53817	-0.21775	0.52615	-0.84258	0.11503
-0.29802	-0.0029053	0.95456	-0.84998	-0.4543	-0.26675	0.43443	-0.89085	0.13292
-0.29802	-0.0029053	0.95456	-0.84998	-0.4543	-0.26675	0.43443	-0.89085	0.13292
-0.24948	0.0061756	0.96836	-0.89492	-0.38353	-0.22811	0.36998	-0.92351	0.10121
-0.27072	0.0043914	0.96265	-0.88225	-0.40123	-0.24628	0.38516	-0.91597	0.1125
-0.30333	0.022707	0.95262	-0.88056	-0.38871	-0.27112	0.36414	-0.92108	0.1379
-0.22662	-0.0030783	0.97398	-0.91821	-0.33287	-0.2147	0.32486	-0.94297	0.072608
-0.23441	0.0010713	0.97214	-0.91884	-0.3268	-0.2212	0.31746	-0.94509	0.07759
-0.25479	0.02192	0.96675	-0.91099	-0.34075	-0.23237	0.32432	-0.9399	0.10679
-0.28204	0.019675	0.9592	-0.90974	-0.32299	-0.26087	0.30468	-0.9462	0.109
-0.27037	-0.036473	0.96207	-0.91898	-0.28811	-0.26919	0.287	-0.9569	0.04438
-0.26828	-0.018728	0.96316	-0.91938	-0.29361	-0.26179	0.28769	-0.95574	0.061551
-0.26828	-0.018728	0.96316	-0.91938	-0.29361	-0.26179	0.28769	-0.95574	0.061551
-0.26828	-0.018728	0.96316	-0.91938	-0.29361	-0.26179	0.28769	-0.95574	0.061551
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.22442	0.044219	0.97349	-0.90312	-0.3847	-0.19072	0.36606	-0.92198	0.12627
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.35793	-0.1825	0.91574	-0.717	-0.57453	-0.39475	0.59816	-0.79788	0.074792
-0.36199	-0.19179	0.91224	-0.71713	-0.56792	-0.40397	0.59555	-0.80043	0.068041
-0.3532	-0.17905	0.91826	-0.73253	-0.55761	-0.39049	0.58194	-0.81057	0.065788
-0.35085	-0.18163	0.91865	-0.73155	-0.55925	-0.38997	0.58459	-0.80885	0.063344
-0.35691	-0.15864	0.92057	-0.75061	-0.53791	-0.38371	0.55605	-0.82794	0.072909
-0.3435	-0.08225	0.93554	-0.82114	-0.45715	-0.34169	0.45578	-0.88558	0.089493
-0.28974	-0.069137	0.9546	-0.84776	-0.44441	-0.2895	0.44425	-0.89315	0.070153
-0.28974	-0.069137	0.9546	-0.84776	-0.44441	-0.2895	0.44425	-0.89315	0.070153
-0.28339	-0.077964	0.95583	-0.85523	-0.43041	-0.28867	0.4339	-0.89926	0.055295
-0.285	-0.046869	0.95738	-0.87009	-0.40639	-0.27891	0.40214	-0.9125	0.075042
-0.26509	-0.055934	0.9626	-0.87821	-0.39815	-0.26498	0.39808	-0.91561	0.056424
-0.25744	-0.05856	0.96452	-0.88116	-0.39543	-0.2592	0.39658	-0.91663	0.050199
-0.26326	-0.06191	0.96274	-0.89117	-0.36659	-0.26727	0.36947	-0.92832	0.041336
-0.26237	-0.065672	0.96273	-0.89083	-0.36701	-0.26781	0.37092	-0.92789	0.03779
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.3098	-0.068158	0.94836	-0.89676	-0.31054	-0.31526	0.31599	-0.94811	0.035084
-0.22685	-0.040886	0.97307	-0.91745	-0.32634	-0.22759	0.32685	-0.94437	0.036518
-0.26695	-0.029272	0.96327	-0.92743	-0.26388	-0.26503	0.26195	-0.96411	0.043293
-0.30103	-0.043501	0.95262	-0.9115	-0.28048	-0.30084	0.28028	-0.95887	0.044782
-0.26022	-0.028602	0.96513	-0.9136	-0.31616	-0.2557	0.31245	-0.94828	0.056139
-0.25577	-0.038392	0.96597	-0.91001	-0.32768	-0.25398	0.32628	-0.94401	0.048875
-0.25837	-0.026242	0.96569	-0.91378	-0.3177	-0.25312	0.31344	-0.94783	0.058105
